Peilpunt;X_Lam72_;Y_Lam72_;RASTERVALU
BAOL034X;139203,00000000000;193764,00000000000;7,88000011444
BAOL035X;106385,00000000000;192862,00000000000;7,04263687134
BAOL036X;225048,64600000000;178511,40100000000;35,13000106810
BAOL037X;251504,96000000000;206563,17000000000;26,20000076290
BAOL038X;37630,55000000000;197016,16000000000;2,77999997139
BAOL039X;39662,52000000000;182970,50000000000;3,61999988556
BAOL040X;240163,15400000000;189948,07700000000;90,26000213620
BAOL041X;69183,09000000000;221033,71000000000;2,65000009537
BAOL042X;54040,36700000000;210979,19600000000;3,18000006676
BAOL043X;56489,60000000000;211899,68000000000;2,05999994278
BAOL044X;34033,71000000000;191271,30000000000;3,72000002861
BAOL045X;75036,24000000000;199935,80000000000;19,03000068660
BAOL046X;65534,46000000000;213889,28000000000;1,89999997616
BAOL048X;44851,93000000000;187012,32000000000;8,49520206451
BAOL049X;50965,25000000000;183391,03000000000;18,93052673340
BAOL050X;26100,61000000000;199397,70000000000;5,96000003815
BAOL051X;77708,01000000000;227666,96000000000;4,92000007629
BAOL052X;73925,10000000000;209121,90000000000;5,11999988556
BAOL053X;214469,59000000000;196741,90600000000;43,06000137330
BAOL054X;36500,33000000000;165248,64100000000;94,63999938960
BAOL055X;205817,05600000000;220160,98100000000;30,76000022890
BAOL056X;225098,51500000000;182066,43600000000;44,25000000000
BAOL057X;80752,14000000000;181028,52000000000;9,31999969482
BAOL058X;64647,89900000000;165972,57400000000;13,31999969480
BAOL059X;119056,69000000000;161508,02000000000;41,59999847410
BAOL060X;140126,10700000000;215325,37500000000;5,86000013351
BAOL061X;124320,00000000000;202330,00000000000;5,69000005722
BAOL062X;128122,00000000000;167393,00000000000;23,54999923710
BAOL063X;239204,85800000000;181332,47700000000;56,00000000000
BAOL064X;218666,71600000000;198697,37700000000;59,95999908450
BAOL065X;84218,52000000000;213386,12000000000;4,94000005722
BAOL066X;223132,00000000000;215942,00000000000;36,56000137330
BAOL067X;166513,70000000000;204720,40000000000;6,53000020981
BAOL068X;225012,64000000000;183011,14300000000;47,00999832150
BAOL069X;217709,13200000000;186786,49500000000;37,56999969480
BAOL070X;98806,30000000000;191357,30500000000;6,59000015259
BAOL071X;200817,40100000000;190356,77200000000;22,42000007630
BAOL072X;227685,30300000000;190121,85400000000;73,94999694820
BAOL073X;192300,00000000000;189000,00000000000;17,12999916080
BAOL074X;187962,00000000000;220545,00000000000;19,80999946590
BAOL075X;206646,98000000000;204217,52200000000;29,93000030520
BAOL076X;90111,61600000000;188160,23200000000;8,73999977112
BAOL077X;119000,00000000000;191000,00000000000;3,84999990463
BAOL078X;128909,44000000000;214999,95000000000;4,07999992371
BAOL079X;213086,95800000000;204149,46500000000;44,97999954220
BAOL080X;244603,00000000000;180446,00000000000;43,38999938960
BAOL081X;247680,00000000000;190451,00000000000;36,49000167850
BAOL084X;242750,76400000000;196878,88200000000;50,90000152590
BAOL086X;200417,77600000000;185367,44400000000;19,70999908450
